Sector,Project Title,Project ID,Project Status,Year,Closing Year,Duration(in months),Commitment Amount(in million),GDP in (Billion) $,Per Capita in rupees,Growth%
Agricultural credit,Agricultural Refinance and Development Corporation Credit Project (05),P009828,Closed,1986,1991-06-30,65,375.0,248.99,24800,4.78
Agricultural credit,National Cooperative Development Corporation Project (03),P009811,Closed,1984,1992-06-30,97,220.0,212.16,22160,3.82
Agricultural credit,Agricultural Refinance and Development Corporation Credit Project (04),P009784,Closed,1982,1984-06-30,28,350.0,200.72,21920,3.48
Agricultural credit,National Cooperative Development Corporation Project (02),P009771,Closed,1981,1987-06-30,74,125.0,193.49,21600,6.01
Agricultural credit,Agricultural Refinance and Development Corporation Credit Project (03),P009756,Closed,1979,1982-06-30,36,250.0,152.99,17920,-5.24
Agricultural credit,Agricultural Refinance and Development Corporation Credit Project (02),P009712,Closed,1977,1979-12-31,31,200.0,121.49,14880,7.25
Agricultural credit,Agricultural Refinance Corporation Credit Project,P009689,Closed,1975,1977-12-31,33,75.0,98.47,12640,9.15
Agricultural credit,Bihar Agricultural Credit Project,P009681,Closed,1973,1980-03-31,78,32.0,85.52,11520,3.3
Agricultural credit,Madhya Pradesh Agricultural Credit Project,P009670,Closed,1973,1977-12-31,56,33.0,85.52,11520,3.3
Agricultural credit,Uttar Pradesh Agricultural Credit Project,P009671,Closed,1973,1977-12-31,56,38.0,85.52,11520,3.3
Agricultural credit,Maharastra Agricultural Credit Project,P009659,Closed,1972,1976-06-30,52,30.0,71.46,9840,-0.55
Agricultural credit,Mysore Agricultural Credit Project,P009658,Closed,1971,1977-06-30,67,40.0,67.35,9520,1.64
Agricultural credit,Haryana Agricultural Credit Project,P009655,Closed,1971,1977-06-30,74,25.0,67.35,9520,1.64
Agricultural credit,Tamil Nadu Agricultural Credit Project,P009654,Closed,1971,1977-12-31,80,35.0,67.35,9520,1.64
Agricultural credit,Andhra Pradesh Agricultural Credit Project,P009653,Closed,1970,1977-06-30,79,24.4,62.42,8960,5.16
Agricultural credit,Punjab Agricultural Credit Project,P009647,Closed,1970,1977-06-30,85,27.5,62.42,8960,5.16
Agricultural credit,Gujarat Agricultural Credit Project,P009646,Closed,1970,1975-03-31,59,35.0,62.42,8960,5.16
Health,India COVID-19 Emergency Response and Health Systems Preparedness Project,P173836,Closed,2020,2023-03-31,36,1000.0,2667.69,154640,-6.6
Health,National Nutrition Mission (also known as ICDS Systems Strengthening and Nutrition Improvement Project: Additional Financing),P165493,Closed,2018,2023-12-28,69,200.0,2702.93,159840,6.45
Health,Bihar Transformative Development Project,P159576,Closed,2016,2023-04-30,83,290.0,2294.8,138640,8.26
Health,Karnataka Multisectoral Nutrition Pilot,P149811,Closed,2014,2018-09-28,51,0.0,2039.13,125920,7.41
Health,Accelerating Universal Access to Early and Effective Tuberculosis Care,P148604,Closed,2014,2018-03-31,48,97.0,2039.13,125920,7.41
Health,National AIDS Control Support Project,P130299,Closed,2013,2020-06-30,87,255.0,1856.72,116000,6.39
Health,India: Karnataka Health Systems Additional Financing,P130395,Closed,2012,2023-12-28,136,70.0,1827.64,115520,5.46
Health,India - Bihar Panchayat Strengthening Project,P102627,Closed,2012,2019-12-30,88,84.0,1827.64,115520,5.46
Health,India: Uttar Pradesh Health Systems Strengthening Project (UPHSSP),P100304,Closed,2011,2019-09-30,94,152.0,1823.05,116640,5.24
Health,Tamil Nadu Health Additional Financing,P118830,Closed,2010,2023-12-28,166,117.7,1675.62,108640,8.5
Health,APRPRP 2nd Additional Finance,P118821,Closed,2009,2023-12-28,170,100.0,1341.89,88160,7.86
