Sector,Project Title,Project ID,Project Status,Year,Closing Year,Duration(in months),GDP in (Billion) $,Per Capita in rupees,Growth%,Commitment Amount(in million)
Agricultural credit,Agricultural Refinance and Development Corporation Credit Project (05),P009828,Closed,1986,30-06-1991,65,248.99,24800,4.78,375
Agricultural credit,National Cooperative Development Corporation Project (03),P009811,Closed,1984,30-06-1992,97,212.16,22160,3.82,220
Agricultural credit,Agricultural Refinance and Development Corporation Credit Project (04),P009784,Closed,1982,30-06-1982,28,200.72,21920,3.48,350
Agricultural credit,National Cooperative Development Corporation Project (02),P009771,Closed,1981,30-06-1987,74,193.49,21600,6.01,125
Agricultural credit,Agricultural Refinance and Development Corporation Credit Project (03),P009756,Closed,1979,30-06-1982,36,152.99,17920,-5.24,250
Agricultural credit,Agricultural Refinance and Development Corporation Credit Project (02),P009712,Closed,1977,31-12-1979,31,121.49,14880,7.25,200
Agricultural credit,Agricultural Refinance Corporation Credit Project,P009689,Closed,1975,31-12-1977,33,98.47,12640,9.15,75
Agricultural credit,Bihar Agricultural Credit Project,P009681,Closed,1973,31-03-1980,78,85.52,11520,3.3,32
Agricultural credit,Madhya Pradesh Agricultural Credit Project,P009670,Closed,1973,31-12-1977,56,85.52,11520,3.3,33
Agricultural credit,Uttar Pradesh Agricultural Credit Project,P009671,Closed,1973,31-12-1977,56,85.52,11520,3.3,38
Agricultural credit,Maharastra Agricultural Credit Project,P009659,Closed,1972,30-06-1976,52,71.46,9840,-0.55,30
Agricultural credit,Mysore Agricultural Credit Project,P009658,Closed,1971,30-06-1977,67,67.35,9520,1.64,40
Agricultural credit,Haryana Agricultural Credit Project,P009655,Closed,1971,30-06-1977,74,67.35,9520,1.64,25
Agricultural credit,Tamil Nadu Agricultural Credit Project,P009654,Closed,1971,31-12-1977,80,67.35,9520,1.64,35
Agricultural credit,Andhra Pradesh Agricultural Credit Project,P009653,Closed,1970,30-06-1977,79,62.42,8960,5.16,24.4
Agricultural credit,Punjab Agricultural Credit Project,P009647,Closed,1970,30-06-1977,85,62.42,8960,5.16,27.5
Agricultural credit,Gujarat Agricultural Credit Project,P009646,Closed,1970,31-03-1975,59,62.42,8960,5.16,35
Health,India COVID-19 Emergency Response and Health Systems Preparedness Project,P173836,Closed,2020,31-03-2023,36,2667.69,154640,-6.6,1000
Health,National Nutrition Mission (also known as ICDS Systems Strengthening and Nutrition Improvement Project: Additional Financing),P165493,Closed,2018,28-12-2023,69,2702.93,159840,6.45,200
Health,Bihar Transformative Development Project,P159576,Closed,2016,30-04-2023,83,2294.8,138640,8.26,290
Health,Karnataka Multisectoral Nutrition Pilot,P149811,Closed,2014,28-09-2018,51,2039.13,125920,7.41,0
Health,Accelerating Universal Access to Early and Effective Tuberculosis Care,P148604,Closed,2014,31-03-2018,48,2039.13,125920,7.41,97
Health,National AIDS Control Support Project,P130299,Closed,2013,30-06-2020,87,1856.72,116000,6.39,255
Health,India: Karnataka Health Systems Additional Financing,P130395,Closed,2012,28-12-2023,136,1827.64,115520,5.46,70
Health,India - Bihar Panchayat Strengthening Project,P102627,Closed,2012,30-12-2019,88,1827.64,115520,5.46,84
Health,India: Uttar Pradesh Health Systems Strengthening Project (UPHSSP),P100304,Closed,2011,30-09-2019,94,1823.05,116640,5.24,152
Health,Tamil Nadu Health Additional Financing,P118830,Closed,2010,28-12-2023,166,1675.62,108640,8.5,117.7
Health,APRPRP 2nd Additional Finance,P118821,Closed,2009,28-12-2023,170,1341.89,88160,7.86,100
Health,India: National Vector Borne Disease Control & Polio Eradication Support Project,P094360,Closed,2008,31-12-2013,65,1198.9,79920,3.09,521
Health,Andhra Pradesh Rural Poverty Reduction: Drought Adaptative Initiative Project,P104724,Closed,2007,28-12-2023,200,1216.74,82240,7.66,65
Health,India: Third National HIV/AIDS Control Project,P078538,Closed,2007,30-09-2012,66,1216.74,82240,7.66,250
Health,India: Second National Tuberculosis Control Project,P078539,Closed,2006,30-09-2012,74,940.26,64560,8.06,170
Health,India: Reproductive & Child Health Second Phase,P075060,Closed,2006,31-03-2012,68,940.26,64560,8.06,360
Health,Karnataka Health System Development and Reform Project,P071160,Closed,2006,31-03-2017,129,940.26,64560,8.06,141.83
Health,Orissa Socio-Economic Development Loan/Credit II,P097036,Closed,2006,30-06-2008,23,940.26,64560,8.06,225
Health,India: Tamil Nadu Health Systems Project,P075058,Closed,2004,15-09-2015,130,709.15,50240,7.92,110.83
Health,Orissa Socio-Economic Development Loan/Credit,P081882,Closed,2004,31-07-2005,9,709.15,50240,7.92,125
Primary Education,India: Elementary Education III,P144447,Closed,2014,28-02-2018,46,2039.13,125920,7.41,1006.2
Primary Education,Additional Financing for Second Elementary Education Project,P118673,Closed,2010,28-12-2023,167,1675.62,108640,8.5,750
Primary Education,India: Elementary Education (Sarva Shiksha Abhiyan II),P102547,Closed,2008,30-09-2012,53,1198.9,79920,3.09,600
Primary Education,Third Andhra Pradesh Economic Reform Loan/Credit,P075174,Closed,2007,30-06-2010,42,1216.74,82240,7.66,225
Primary Education,ELEMENTARY EDUCATION PROJECT,P055459,Closed,2004,31-12-2007,45,709.15,50240,7.92,500
Primary Education,Gujarat District Primary Education Project,P072972,Closed,2001,30-06-2005,46,485.44,36160,4.82,15.75
Primary Education,Rajasthan Second District Primary Education Project,P055455,Closed,2001,31-03-2008,82,485.44,36160,4.82,74.4
Primary Education,Uttar Pradesh Third District Primary Education Project,P050667,Closed,1999,31-03-2006,76,458.82,35360,8.85,182.4
Primary Education,RAJASTHAN DISTRICT PRIMARY EDUCATION PROJECT,P045050,Closed,1999,31-12-2005,79,458.82,35360,8.85,85.7
