Sector,Project Title,Project ID,Project Status,Year,Closing Year,Duration(in months),Commitment Amount(in million)
Agricultural credit,Agricultural Refinance and Development Corporation Credit Project (05),P009828,Closed,"February 25, 1986",1991-06-30,65,375.00
Agricultural credit,National Cooperative Development Corporation Project (03),P009811,Closed,"June 19, 1984",1992-06-30,97,220.00
Agricultural credit,Agricultural Refinance and Development Corporation Credit Project (04),P009784,Closed,"February 23, 1982",1984-06-30,28,350.00
Agricultural credit,National Cooperative Development Corporation Project (02),P009771,Closed,"May 21, 1981",1987-06-30,74,125.00
Agricultural credit,Agricultural Refinance and Development Corporation Credit Project (03),P009756,Closed,"July 12, 1979",1982-06-30,36,250.00
Agricultural credit,Agricultural Refinance and Development Corporation Credit Project (02),P009712,Closed,"May 24, 1977",1979-12-31,31,200.00
Agricultural credit,Agricultural Refinance Corporation Credit Project,P009689,Closed,"April 15, 1975",1977-12-31,33,75.00
Agricultural credit,Bihar Agricultural Credit Project,P009681,Closed,"October 23, 1973",1980-03-31,78,32.00
Agricultural credit,Madhya Pradesh Agricultural Credit Project,P009670,Closed,"May 24, 1973",1977-12-31,56,33.00
Agricultural credit,Uttar Pradesh Agricultural Credit Project,P009671,Closed,"May 24, 1973",1977-12-31,56,38.00
Agricultural credit,Maharastra Agricultural Credit Project,P009659,Closed,"February 28, 1972",1976-06-30,52,30.00
Agricultural credit,Mysore Agricultural Credit Project,P009658,Closed,"December 21, 1971",1977-06-30,67,40.00
Agricultural credit,Haryana Agricultural Credit Project,P009655,Closed,"June 1, 1971",1977-06-30,74,25.00
Agricultural credit,Tamil Nadu Agricultural Credit Project,P009654,Closed,"June 1, 1971",1977-12-31,80,35.00
Agricultural credit,Andhra Pradesh Agricultural Credit Project,P009653,Closed,"December 15, 1970",1977-06-30,79,24.40
Agricultural credit,Punjab Agricultural Credit Project,P009647,Closed,"June 11, 1970",1977-06-30,85,27.50
Agricultural credit,Gujarat Agricultural Credit Project,P009646,Closed,"May 1, 1970",1975-03-31,59,35.00
Health,India COVID-19 Emergency Response and Health Systems Preparedness Project,P173836,Closed,"April 2, 2020",2023-03-31,36,1000.00
Health,National Nutrition Mission (also known as ICDS Systems Strengthening and Nutrition Improvement Project: Additional Financing),P165493,Closed,"March 30, 2018",2023-12-28,69,200.00
Health,Bihar Transformative Development Project,P159576,Closed,"June 28, 2016",2023-04-30,83,290.00
Health,Karnataka Multisectoral Nutrition Pilot,P149811,Closed,"June 25, 2014",2018-09-28,51,0.00
Health,Accelerating Universal Access to Early and Effective Tuberculosis Care,P148604,Closed,"April 8, 2014",2018-03-31,48,97.00
Health,National AIDS Control Support Project,P130299,Closed,"May 1, 2013",2020-06-30,87,255.00
Health,India: Karnataka Health Systems Additional Financing,P130395,Closed,"September 27, 2012",2023-12-28,136,70.00
Health,India - Bihar Panchayat Strengthening Project,P102627,Closed,"September 27, 2012",2019-12-30,88,84.00
Health,India: Uttar Pradesh Health Systems Strengthening Project (UPHSSP),P100304,Closed,"December 20, 2011",2019-09-30,94,152.00
Health,Tamil Nadu Health Additional Financing,P118830,Closed,"April 29, 2010",2023-12-28,166,117.70
Health,APRPRP 2nd Additional Finance,P118821,Closed,"December 22, 2009",2023-12-28,170,100.00
Health,India: National Vector Borne Disease Control & Polio Eradication Support Project,P094360,Closed,"July 31, 2008",2013-12-31,65,521.00
Health,Andhra Pradesh Rural Poverty Reduction: Drought Adaptative Initiative Project,P104724,Closed,"July 10, 2007",2023-12-28,200,65.00
Health,India: Third National HIV/AIDS Control Project,P078538,Closed,"April 26, 2007",2012-09-30,66,250.00
Health,India: Second National Tuberculosis Control Project,P078539,Closed,"August 22, 2006",2012-09-30,74,170.00
Health,India: Reproductive & Child Health Second Phase,P075060,Closed,"August 22, 2006",2012-03-31,68,360.00
Health,Karnataka Health System Development and Reform Project,P071160,Closed,"August 22, 2006",2017-03-31,129,141.83
Health,Orissa Socio-Economic Development Loan/Credit II,P097036,Closed,"August 1, 2006",2008-06-30,23,225.00
Health,India: Tamil Nadu Health Systems Project,P075058,Closed,"December 16, 2004",2015-09-15,130,110.83
Health,Orissa Socio-Economic Development Loan/Credit,P081882,Closed,"November 2, 2004",2005-07-31,9,125.00
Primary Education,India: Elementary Education III,P144447,Closed,"May 16, 2014",2018-02-28,46,1006.20
Primary Education,Additional Financing for Second Elementary Education Project,P118673,Closed,"March 18, 2010",2023-12-28,167,750.00
Primary Education,India: Elementary Education (Sarva Shiksha Abhiyan II),P102547,Closed,"May 15, 2008",2012-09-30,53,600.00
Primary Education,Third Andhra Pradesh Economic Reform Loan/Credit,P075174,Closed,"January 11, 2007",2010-06-30,42,225.00
Primary Education,ELEMENTARY EDUCATION PROJECT,P055459,Closed,"April 20, 2004",2007-12-31,45,500.00
Primary Education,Gujarat District Primary Education Project,P072972,Closed,"September 3, 2001",2005-06-30,46,15.75
Primary Education,Rajasthan Second District Primary Education Project,P055455,Closed,"June 21, 2001",2008-03-31,82,74.40
Primary Education,Uttar Pradesh Third District Primary Education Project,P050667,Closed,"December 16, 1999",2006-03-31,76,182.40
Primary Education,RAJASTHAN DISTRICT PRIMARY EDUCATION PROJECT,P045050,Closed,"June 8, 1999",2005-12-31,79,85.70
Primary Education,Andhra Pradesh Economic Restructuring Project,P049385,Closed,"June 25, 1998",2006-03-31,94,301.30
Primary Education,District Primary Education Project (03),P038021,Closed,"December 4, 1997",2006-03-31,101,152.00
